iid,gender,age,imprace,imprelig,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy
11,1,27,7,3,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7
12,1,22,1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7
13,1,22,3,5,2,7,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3
14,1,23,1,1,2,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8
15,1,24,3,1,1,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5
16,1,25,9,2,1,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7
17,1,30,1,1,3,3,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4
18,1,27,8,8,1,6,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5
19,1,28,1,1,4,1,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10
20,1,24,1,1,1,1,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6
40,1,25,9,6,2,7,7,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,3
41,1,30,1,1,2,6,5,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1,7
42,1,23,1,6,2,7,4,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1,6
43,1,24,1,1,6,6,3,8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2,1,3
44,1,24,3,3,1,3,1,9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6,8,7
45,1,28,6,6,2,6,3,9,7,3,6,8,6,6,7,6,6,7,6,7,6,6,6,3,7
46,1,26,2,3,2,6,2,10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7,7
47,1,30,2,2,1,6,1,6,7,2,8,7,6,3,7,4,7,4,5,8,8,7,2,1,8
48,1,22,9,2,1,5,2,3,1,6,7,7,8,1,5,8,4,6,10,10,6,8,6,2,6
49,1,25,1,3,1,3,2,10,7,5,7,6,7,2,8,7,9,5,5,6,5,8,2,7,6
50,1,27,4,4,6,6,2,10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6,2,5
51,1,23,5,10,1,5,3,6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2,1,3
52,1,21,10,9,1,4,1,8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,5
53,1,28,2,2,2,6,2,8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3,6
54,1,28,1,1,5,5,1,5,2,2,8,7,8,8,1,3,7,1,8,6,9,9,1,3,7
55,1,23,1,1,6,4,2,10,8,4,5,5,4,1,6,10,9,7,5,10,7,10,5,1,7
66,1,29,1,1,2,6,4,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,5
67,1,22,1,1,6,5,2,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,5
68,1,27,1,1,5,4,3,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1,5
69,1,28,2,2,6,6,1,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,3
70,1,26,5,1,5,2,1,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6,3
71,1,21,6,7,5,6,2,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1,9
72,1,22,8,1,5,6,1,8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8,4,7
73,1,22,7,3,6,4,2,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1,2
74,1,25,3,1,5,7,2,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5,9
75,1,24,3,3,6,5,3,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,5
94,1,28,6,8,2,6,3,7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,5
95,1,26,7,5,1,5,2,10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3,6
96,1,26,3,6,1,7,1,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7
97,1,29,4,1,2,5,2,6,8,8,3,3,3,6,1,5,8,3,2,7,3,7,3,5,5
98,1,39,1,1,4,4,2,8,8,8,7,3,3,5,1,7,7,3,7,8,6,8,2,7,5
99,1,28,1,1,3,3,2,5,5,5,8,10,10,5,5,9,6,6,10,10,10,10,8,5,8
100,1,30,8,9,1,3,2,5,4,6,7,6,6,2,2,4,6,5,7,7,3,7,6,2,5
101,1,22,3,2,3,4,3,9,9,7,9,9,9,8,8,9,8,7,9,8,7,8,8,4,7
102,1,32,2,6,1,4,4,9,9,9,9,4,4,7,2,5,5,4,4,9,3,5,5,2,6
103,1,26,8,9,2,4,1,8,7,8,8,6,4,8,5,8,8,8,5,8,8,8,6,3,6
